"","Site","Date","Month","Year","Cohort","day","day.adjusted","Trial","IndTier","ShellHeight","variance","std"
"20","Vertical Bay Farms",2022-02-11,2,22,"y2",557,864,"Ear Hanging",NA,84.6633165829146,36.3699859499006,6.03075334845495
"21","Vertical Bay Farms",2022-02-11,2,22,"y2",557,864,"Lantern Net",10,83.3916666666667,25.0974089635854,5.00973142629277
"22","Vertical Bay Farms",2022-05-11,5,22,"y1",281,587,"Seed",25,55.5125,16.3520440251572,4.04376606953929
"23","Vertical Bay Farms",2022-05-11,5,22,"y2",646,953,"Ear Hanging",NA,87.8835443037975,39.8798046649104,6.31504589570894
"24","Vertical Bay Farms",2022-05-11,5,22,"y2",646,953,"Lantern Net",10,89.2166666666667,20.7089635854342,4.55071022868235
"25","Vertical Bay Farms",2022-08-08,8,22,"y1",370,676,"Ear Hanging",NA,59.387323943662,30.1255119368694,5.48867123599778
"26","Vertical Bay Farms",2022-08-08,8,22,"y1",370,676,"Lantern Net",10,61.4166666666667,20.4635854341737,4.523669465619
"27","Vertical Bay Farms",2022-08-08,8,22,"y2",735,1042,"Ear Hanging",NA,95.6823204419889,36.012373548002,6.00103104041314
"28","Vertical Bay Farms",2022-08-08,8,22,"y2",735,1042,"Lantern Net",10,94.4583333333333,29.8469887955182,5.46323977100751
"29","Vertical Bay Farms",2022-11-03,11,22,"y1",457,763,"Ear Hanging",NA,75.8863636363636,24.0404233171409,4.90310343732833
"30","Vertical Bay Farms",2022-11-03,11,22,"y1",457,763,"Lantern Net",10,74.8416666666667,18.9915266106443,4.35792687073157
"31","Vertical Bay Farms",2022-11-03,11,22,"y2",822,1129,"Ear Hanging",NA,101.102564102564,42.5039162338198,6.51950275970643
"32","Vertical Bay Farms",2022-11-29,11,22,"y2",848,1155,"Lantern Net",10,104.675,27.8682773109244,5.27904132498737
"33","Vertical Bay Farms",2023-02-14,2,23,"y1",560,866,"Ear Hanging",NA,87.9007633587786,36.1516147974163,6.01262129170101
"34","Vertical Bay Farms",2023-02-14,2,23,"y1",560,866,"Lantern Net",10,86.475,23.075,4.80364444979018
"35","Vertical Bay Farms",2023-02-14,2,23,"y2",925,1232,"Ear Hanging",NA,107.375862068966,41.3357475241618,6.42928825953245
"36","Vertical Bay Farms",2023-02-14,2,23,"y2",925,1232,"Lantern Net",10,105.616666666667,35.549299719888,5.96232334915576
"37","Vertical Bay Farms",2023-05-10,5,23,"y1",645,951,"Ear Hanging",NA,93.4,35.741935483871,5.97845594479636
"38","Vertical Bay Farms",2023-05-10,5,23,"y1",645,951,"Lantern Net",10,94.825,24.8682773109244,4.98681033436448
"39","Vertical Bay Farms",2023-05-10,5,23,"y2",1010,1317,"Ear Hanging",NA,110.00395256917,47.4642700294874,6.88943176390386
"40","Vertical Bay Farms",2023-05-10,5,23,"y2",1010,1317,"Lantern Net",10,109.208333333333,49.7461484593838,7.0530949560731
"41","Vertical Bay Farms",2023-08-07,8,23,"y2",1099,1406,"Ear Hanging",NA,115.70618556701,44.0976696735395,6.6406076283379
"42","Vertical Bay Farms",2023-08-07,8,23,"y2",1099,1406,"Lantern Net",NA,115.169444444444,45.7043684047176,6.76050060311495
